ID,Gene,Annotation
NP_001078841,UQCC3,not found by blast
NP_001079990,NDUFAF8,"Chr_2	AUGUSTUS	gene	131361915	131364731	.	+	.	ID=Marm_12276;blast_id=""sp|A1L188|NDUF8_HUMAN"";interproscan_id=""IPR034595"";eggnog_id=""NADH_ubiquinone_oxidoreductase_complex_assembly_factor_8"""
NP_001120712,BBC3,not found by blast
NP_001123552,IFI27,"Chr_13	AUGUSTUS	gene	1779713	1784225	.	+	.	ID=Marm_06709;blast_id=""sp|P40305|IFI27_HUMAN"";interproscan_id=""IPR009311"";eggnog_id=""interferon,_alpha-inducible_protein_27-like"""
NP_001191037,BCL2L11,"Chr_1	AUGUSTUS	gene	18650665	18676824	.	+	.	ID=Marm_00205;blast_id=""sp|O43521|B2L11_HUMAN"";interproscan_id=""IPR015040"";eggnog_id=""positive_regulation_of_apoptotic_process_by_virus"""
NP_001193420,MAVS,not found by blast
NP_001263432,SDHD,Chr_3	AUGUSTUS	gene	24106355	24152229	.	+	.	ID=Marm_16893;
NP_001273703,OCIAD2,"Chr_13	AUGUSTUS	gene	17979951	17992039	.	+	.	ID=Marm_06897;blast_id=""sp|Q7RTR2|NLRC3_HUMAN"";interproscan_id=""IPR027417"";eggnog_id=""NACHT,_LRR_and_PYD_domains-containing_protein"""
NP_001275881,IFI27,"Chr_13	AUGUSTUS	gene	1779713	1784225	.	+	.	ID=Marm_06709;blast_id=""sp|P40305|IFI27_HUMAN"";interproscan_id=""IPR009311"";eggnog_id=""interferon,_alpha-inducible_protein_27-like"""
NP_001275885,IFI27,"Chr_13	AUGUSTUS	gene	1779713	1784225	.	+	.	ID=Marm_06709;blast_id=""sp|P40305|IFI27_HUMAN"";interproscan_id=""IPR009311"";eggnog_id=""interferon,_alpha-inducible_protein_27-like"""
NP_001676,ATP5PF,"Chr_1	AUGUSTUS	gene	229049305	229057098	.	+	.	ID=Marm_01672;blast_id=""sp|P18859|ATP5J_HUMAN"";interproscan_id=""IPR008387"";eggnog_id=""ATP_synthesis_coupled_proton_transport"""
NP_004918,MRPL49,"Chr_19	AUGUSTUS	gene	6269389	6271614	.	+	.	ID=Marm_10314;blast_id=""sp|Q13405|RM49_HUMAN"";interproscan_id=""IPR007740"";eggnog_id=""structural_constituent_of_ribosome"""
NP_006285,UQCRB,"Chr_6	AUGUSTUS	gene	79355318	79361552	.	-	.	ID=Marm_25319;blast_id=""sp|P14927|QCR7_HUMAN"";interproscan_id=""IPR003197"";eggnog_id=""cytochrome_b-c1_complex"""
NP_055232,BBC3,not found by blast
NP_060336,TMEM70,"Chr_6	AUGUSTUS	gene	69559682	69565696	.	+	.	ID=Marm_24443;blast_id=""sp|Q9BUB7|TMM70_HUMAN"";interproscan_id=""IPR009724"";eggnog_id=""mitochondrial_proton-transporting_ATP_synthase_complex_assembly"""
NP_079412,OPA3,"Chr_13	AUGUSTUS	gene	26614831	26616822	.	-	.	ID=Marm_07512;blast_id=""sp|Q9H6K4|OPA3_HUMAN"";interproscan_id=""IPR010754"";eggnog_id=""optic_atrophy_3"""
NP_116012,MGARP,not found by blast
NP_443082,GADD45GIP1,"Chr_2	AUGUSTUS	gene	171959083	171961782	.	-	.	ID=Marm_14811;blast_id=""sp|Q8TAE8|G45IP_HUMAN"";interproscan_id=""IPR018472"";eggnog_id=""mitotic_cell_cycle_arrest"""
NP_612367,TIMM29,"Chr_2	AUGUSTUS	gene	175039045	175039862	.	-	.	ID=Marm_14843;blast_id=""sp|Q9BSF4|TIM29_HUMAN"";interproscan_id=""IPR019322"";eggnog_id=""protein_import_into_mitochondrial_inner_membrane"""
NP_619527,BCL2L11,"Chr_1	AUGUSTUS	gene	18650665	18676824	.	+	.	ID=Marm_00205;blast_id=""sp|O43521|B2L11_HUMAN"";interproscan_id=""IPR015040"";eggnog_id=""positive_regulation_of_apoptotic_process_by_virus"""
NP_619528,BCL2L11,"Chr_1	AUGUSTUS	gene	18650665	18676824	.	+	.	ID=Marm_00205;blast_id=""sp|O43521|B2L11_HUMAN"";interproscan_id=""IPR015040"";eggnog_id=""positive_regulation_of_apoptotic_process_by_virus"""
NP_851821,MRPL52,not found by blast
NP_851822,MRPL52,not found by blast
NP_851823,MRPL52,not found by blast
NP_857634,PRDX5,"Chr_19	AUGUSTUS	gene	12543912	12549397	.	-	.	ID=Marm_10727;blast_id=""sp|P30044|PRDX5_HUMAN"";interproscan_id=""IPR037944"";eggnog_id=""Peroxiredoxin-5,_mitochondrial"""
NP_857635,PRDX5,"Chr_19	AUGUSTUS	gene	12543912	12549397	.	-	.	ID=Marm_10727;blast_id=""sp|P30044|PRDX5_HUMAN"";interproscan_id=""IPR037944"";eggnog_id=""Peroxiredoxin-5,_mitochondrial"""
YP_003024027,MT-ND2,not found by blast
YP_003024028,MT-CO1,not found by blast
YP_003024030,MT-ATP8,not found by blast
YP_003024033,MT-ND3,not found by blast
YP_003024037,MT-ND6,not found by blast
NP_000007,ACADM,"Chr_3	AUGUSTUS	gene	81077752	81095316	.	+	.	ID=Marm_17397;blast_id=""sp|P11310|ACADM_HUMAN"";interproscan_id=""IPR034180"";eggnog_id=""acyl-CoA_dehydrogenase"""
NP_000008,ACADS,"Chr_17	AUGUSTUS	gene	11082443	11089639	.	+	.	ID=Marm_09276;blast_id=""sp|P16219|ACADS_HUMAN"";interproscan_id=""IPR009100"";eggnog_id=""oxidoreductase_activity,_acting_on_the_CH-CH_group_of_donors,_with_a_flavin_as_acceptor"""
NP_000009,ACADVL,"Chr_3	AUGUSTUS	gene	172973039	172997022	.	+	.	ID=Marm_18565;blast_id=""sp|P49748|ACADV_HUMAN"";interproscan_id=""IPR009100"";eggnog_id=""Very_long-chain_specific_acyl-CoA_dehydrogenase"""
NP_000010,ACAT1,"Chr_1	AUGUSTUS	gene	267135246	267152979	.	-	.	ID=Marm_03881;blast_id=""sp|P24752|THIL_HUMAN"";interproscan_id=""IPR016039"";eggnog_id=""propionyl-CoA_metabolic_process"""
NP_000021,AGXT,"Chr_4	AUGUSTUS	gene	67516348	67538571	.	+	.	ID=Marm_20999;blast_id=""sp|P21549|SPYA_HUMAN"";interproscan_id=""IPR015424"";eggnog_id=""serine-pyruvate_transaminase_activity"""
NP_000023,ALAS2,"Chr_2	AUGUSTUS	gene	165098334	165117181	.	-	.	ID=Marm_14709;blast_id=""sp|P22557|HEM0_HUMAN"";interproscan_id=""IPR010961"";eggnog_id=""5-aminolevulinate_synthase_activity"""
NP_000024,ABCD1,"Chr_2	AUGUSTUS	gene	166303618	166327811	.	-	.	ID=Marm_14730;blast_id=""sp|P33897|ABCD1_HUMAN"";interproscan_id=""IPR031237"";eggnog_id=""very_long-chain_fatty_acid_catabolic_process"""
NP_000047,BCKDHB,"Chr_1	AUGUSTUS	gene	107122181	107153883	.	-	.	ID=Marm_02893;blast_id=""sp|P21953|ODBB_HUMAN"";interproscan_id=""IPR029061"";eggnog_id=""branched_chain_keto_acid_dehydrogenase_E1"""
NP_000088,CPOX,"Chr_1	AUGUSTUS	gene	251454991	251462774	.	+	.	ID=Marm_01774;blast_id=""sp|P36551|HEM6_HUMAN"";interproscan_id=""IPR036406"";eggnog_id=""coproporphyrinogen_oxidase_activity"""
NP_000089,CPT2,"Chr_3	AUGUSTUS	gene	72474666	72485528	.	+	.	ID=Marm_17344;blast_id=""sp|P23786|CPT2_HUMAN"";interproscan_id=""IPR000542"";eggnog_id=""carnitine_O-palmitoyltransferase_activity"""
NP_000099,DLD,Chr_7	AUGUSTUS	gene	17121021	17137177	.	+	.	ID=Marm_25693;
NP_000107,TAZ,"Chr_2	AUGUSTUS	gene	166124304	166130807	.	-	.	ID=Marm_14726;blast_id=""sp|Q16635|TAZ_HUMAN"";interproscan_id=""IPR000872"";eggnog_id=""cardiolipin_acyl-chain_remodeling"""
NP_000117,ETFA,"Chr_16	AUGUSTUS	gene	825087	842514	.	-	.	ID=Marm_08902;blast_id=""sp|P13804|ETFA_HUMAN"";interproscan_id=""IPR001308"";eggnog_id=""fatty_acid_beta-oxidation_using_acyl-CoA_dehydrogenase"""
NP_000131,FECH,"Chr_9	AUGUSTUS	gene	15482424	15512352	.	-	.	ID=Marm_29070;blast_id=""sp|P22830|HEMH_HUMAN"";interproscan_id=""IPR001015"";eggnog_id=""ferrochelatase_activity"""
NP_000134,FH,
NP_000135,FXN,"Chr_9	AUGUSTUS	gene	74655477	74664475	.	-	.	ID=Marm_29469;blast_id=""sp|Q16595|FRDA_HUMAN"";interproscan_id=""IPR036524"";eggnog_id=""regulation_of_ferrochelatase_activity"""
NP_000150,GCDH,"Chr_2	AUGUSTUS	gene	171813367	171829173	.	+	.	ID=Marm_12722;blast_id=""sp|Q92947|GCDH_HUMAN"";interproscan_id=""IPR009100"";eggnog_id=""glutaryl-CoA_dehydrogenase"""
NP_000161,GLDC,"Chr_9	AUGUSTUS	gene	77803687	77867888	.	-	.	ID=Marm_29498;blast_id=""sp|P23378|GCSP_HUMAN"";interproscan_id=""IPR020581"";eggnog_id=""glycine_dehydrogenase_(decarboxylating)_activity"""
NP_000173,HADHA,"Chr_4	AUGUSTUS	gene	68119195	68149599	.	-	.	ID=Marm_21804;blast_id=""sp|Q08426|ECHP_HUMAN"";interproscan_id=""IPR029045"";eggnog_id=""dodecenoyl-CoA_delta-isomerase_activity"""
NP_000174,HADHB,"Chr_1	AUGUSTUS	gene	915567	933353	.	-	.	ID=Marm_02105;blast_id=""sp|P55084|ECHB_HUMAN"";interproscan_id=""IPR016039"";eggnog_id=""trifunctional_enzyme_subunit_beta,_mitochondrial"""
NP_000182,HMGCL,"Chr_13	AUGUSTUS	gene	6780737	6794374	.	+	.	ID=Marm_06771;blast_id=""sp|P35914|HMGCL_HUMAN"";interproscan_id=""IPR043594"";eggnog_id=""hydroxymethylglutaryl-CoA_lyase_activity"""
NP_000231,MAOA,"Chr_1	AUGUSTUS	gene	218951180	218995957	.	+	.	ID=Marm_01593;blast_id=""sp|P21397|AOFA_HUMAN"";interproscan_id=""IPR036188"";eggnog_id=""phenylethylamine_metabolic_process"""
NP_000246,MMUT,"Chr_1	AUGUSTUS	gene	153472685	153499632	.	+	.	ID=Marm_01226;blast_id=""sp|P22033|MUTA_HUMAN"";interproscan_id=""IPR016176"";eggnog_id=""methylmalonyl-CoA_mutase_activity"""
NP_000265,OAT,"Chr_4	AUGUSTUS	gene	44655840	44701462	.	+	.	ID=Marm_20851;blast_id=""sp|P04181|OAT_HUMAN"";interproscan_id=""IPR015424"";eggnog_id=""ornithine_aminotransferase"""
NP_000273,PCCA,"Chr_1	AUGUSTUS	gene	184551864	184674915	.	+	.	ID=Marm_01383;blast_id=""sp|P05165|PCCA_HUMAN"";interproscan_id=""IPR011764"";eggnog_id=""carboxylase,_alpha"""
NP_000275,PDHA1,"Chr_1	AUGUSTUS	gene	208991140	209010757	.	+	.	ID=Marm_01543;blast_id=""sp|P08559|ODPA_HUMAN"";interproscan_id=""IPR029061"";eggnog_id=""pyruvate_dehydrogenase_(acetyl-transferring)_activity"""
NP_000300,PPOX,"Chr_19	AUGUSTUS	gene	11961146	11969271	.	-	.	ID=Marm_10710;blast_id=""sp|P50336|PPOX_HUMAN"";interproscan_id=""IPR036188"";eggnog_id=""Catalyzes_the_6-electron_oxidation_of_protoporphyrinogen-IX_to_form_protoporphyrin-IX"""
NP_000311,QDPR,"Chr_8	AUGUSTUS	gene	5377031	5388622	.	-	.	ID=Marm_27704;blast_id=""sp|P09417|DHPR_HUMAN"";interproscan_id=""IPR036291"";eggnog_id=""Dihydropteridine_reductase"""
NP_000340,STAR,"Chr_12	AUGUSTUS	gene	11408849	11420062	.	+	.	ID=Marm_06217;blast_id=""sp|P49675|STAR_HUMAN"";interproscan_id=""IPR029866"";eggnog_id=""positive_regulation_of_bile_acid_biosynthetic_process"""
NP_000373,ALDH3A2,"Chr_5	AUGUSTUS	gene	106945083	107025228	.	-	.	ID=Marm_23871;blast_id=""sp|P43353|AL3B1_HUMAN"";interproscan_id=""IPR012394"";eggnog_id=""aldehyde_dehydrogenase_[NAD(P)+]_activity"""
NP_000378,SLC25A20,"Chr_5	AUGUSTUS	gene	18401837	18408984	.	+	.	ID=Marm_22344;blast_id=""sp|Q8N8R3|MCATL_HUMAN"";interproscan_id=""IPR023395"";eggnog_id=""mitochondrial_L-ornithine_transmembrane_transport"""
NP_000389,CYB5R3,"Chr_7	AUGUSTUS	gene	11621313	11653774	.	-	.	ID=Marm_26407;blast_id=""sp|P00387|NB5R3_HUMAN"";interproscan_id=""IPR039261"";eggnog_id=""cytochrome-b5_reductase_activity,_acting_on_NAD(P)H"""
NP_000399,GPD2,"Chr_11	AUGUSTUS	gene	58580544	58646338	.	-	.	ID=Marm_06079;blast_id=""sp|P43304|GPDM_HUMAN"";interproscan_id=""IPR000447"";eggnog_id=""Glycerol-3-phosphate_dehydrogenase"""
NP_000405,HSD17B4,"Chr_6	AUGUSTUS	gene	8245160	8248725	.	-	.	ID=Marm_24822;blast_id=""sp|P51659|DHB4_HUMAN"";interproscan_id=""IPR036527"";eggnog_id=""Hydroxysteroid_(17-beta)_dehydrogenase_4"""
NP_000427,OXCT1,"Chr_9	AUGUSTUS	gene	21189502	21256806	.	-	.	ID=Marm_29124;blast_id=""sp|P55809|SCOT1_HUMAN"";interproscan_id=""IPR004165"";eggnog_id=""3-oxoacid_CoA-transferase_activity"""
NP_000445,SOD1,"Chr_8	AUGUSTUS	gene	8839743	8840381	.	+	.	ID=Marm_27094;blast_id=""sp|P08294|SODE_HUMAN"";interproscan_id=""IPR024141"";eggnog_id=""Destroys_radicals_which_are_normally_produced_within_the_cells_and_which_are_toxic_to_biological_systems"""
NP_000472,AMT,"Chr_2	AUGUSTUS	gene	72321675	72339952	.	+	.	ID=Marm_11760;blast_id=""sp|P48728|GCST_HUMAN"";interproscan_id=""IPR028896"";eggnog_id=""The_glycine_cleavage_system_catalyzes_the_degradation_of_glycine"""
NP_000488,CYP11B1,"Chr_6	AUGUSTUS	gene	106562386	106576165	.	-	.	ID=Marm_25543;blast_id=""sp|P15538|C11B1_HUMAN"";interproscan_id=""IPR036396"";eggnog_id=""Catalyzes_the_side-chain_cleavage_reaction_of_cholesterol_to_pregnenolone"""
NP_000489,CYP11B2,"Chr_6	AUGUSTUS	gene	106562386	106576165	.	-	.	ID=Marm_25543;blast_id=""sp|P15538|C11B1_HUMAN"";interproscan_id=""IPR036396"";eggnog_id=""Catalyzes_the_side-chain_cleavage_reaction_of_cholesterol_to_pregnenolone"""
NP_000522,OTC,"Chr_1	AUGUSTUS	gene	216804344	216825552	.	+	.	ID=Marm_01583;blast_id=""sp|P00480|OTC_HUMAN"";interproscan_id=""IPR036901"";eggnog_id=""ornithine_carbamoyltransferase_activity"""
NP_000523,PCCB,"Chr_4	AUGUSTUS	gene	67899485	67920547	.	-	.	ID=Marm_21802;blast_id=""sp|P05166|PCCB_HUMAN"";interproscan_id=""IPR034733"";eggnog_id=""carboxylase,_beta"""
NP_000572,GPX1,"Chr_2	AUGUSTUS	gene	71986129	71990360	.	+	.	ID=Marm_11750;blast_id=""sp|P07203|GPX1_HUMAN"";interproscan_id=""IPR036249"";eggnog_id=""glutathione_peroxidase_activity"""
NP_000624,BCL2,"Chr_6	AUGUSTUS	gene	23352532	23355146	.	-	.	ID=Marm_24913;blast_id=""sp|P10415|BCL2_HUMAN"";interproscan_id=""IPR036834"";eggnog_id=""negative_regulation_of_cellular_pH_reduction"""
NP_000628,GSR,"Chr_2	AUGUSTUS	gene	186640207	186657046	.	-	.	ID=Marm_14996;blast_id=""sp|P00390|GSHR_HUMAN"";interproscan_id=""IPR001100"";eggnog_id=""Glutathione_reductase"""
NP_000648,BCL2,"Chr_6	AUGUSTUS	gene	23352532	23355146	.	-	.	ID=Marm_24913;blast_id=""sp|P10415|BCL2_HUMAN"";interproscan_id=""IPR036834"";eggnog_id=""negative_regulation_of_cellular_pH_reduction"""
NP_000654,ABAT,"Chr_18	AUGUSTUS	gene	14850873	14881655	.	+	.	ID=Marm_09856;blast_id=""sp|P80404|GABT_HUMAN"";interproscan_id=""IPR005814"";eggnog_id=""4-aminobutyrate:2-oxoglutarate_transaminase_activity"""
NP_000679,ALAS1,"Chr_2	AUGUSTUS	gene	65421494	65430405	.	+	.	ID=Marm_11687;blast_id=""sp|P13196|HEM1_HUMAN"";interproscan_id=""IPR010961"";eggnog_id=""synthase"""
NP_000681,ALDH2,"Chr_17	AUGUSTUS	gene	18153184	18166602	.	+	.	ID=Marm_09380;blast_id=""sp|P05091|ALDH2_HUMAN"";interproscan_id=""IPR016161"";eggnog_id=""glyceraldehyde-3-phosphate_dehydrogenase_(NAD+)_(non-phosphorylating)_activity"""
NP_000683,ALDH1B1,"Chr_1	AUGUSTUS	gene	79211900	79227115	.	+	.	ID=Marm_00647;blast_id=""sp|Q9H2A2|AL8A1_HUMAN"";interproscan_id=""IPR016161"";eggnog_id=""aldehyde_dehydrogenase_8_family,_member_A1"""
NP_000687,ALDH9A1,"Chr_1	AUGUSTUS	gene	79211900	79227115	.	+	.	ID=Marm_00647;blast_id=""sp|Q9H2A2|AL8A1_HUMAN"";interproscan_id=""IPR016161"";eggnog_id=""aldehyde_dehydrogenase_8_family,_member_A1"""
NP_000700,BCKDHA,"Chr_13	AUGUSTUS	gene	23523884	23533486	.	+	.	ID=Marm_07016;blast_id=""sp|P12694|ODBA_HUMAN"";interproscan_id=""IPR034616"";eggnog_id=""2-oxoisovalerate_dehydrogenase_subunit_alpha"""
NP_000705,TSPO,"Chr_7	AUGUSTUS	gene	5776628	5790004	.	-	.	ID=Marm_26357;blast_id=""sp|P30536|TSPO_HUMAN"";interproscan_id=""IPR004307"";eggnog_id=""Translocator_protein"""
NP_000746,CRAT,"Chr_3	AUGUSTUS	gene	72474666	72485528	.	+	.	ID=Marm_17344;blast_id=""sp|P23786|CPT2_HUMAN"";interproscan_id=""IPR000542"";eggnog_id=""carnitine_O-palmitoyltransferase_activity"""
NP_000772,CYP11A1,"Chr_16	AUGUSTUS	gene	1465832	1477306	.	+	.	ID=Marm_08640;blast_id=""sp|P05108|CP11A_HUMAN"";interproscan_id=""IPR036396"";eggnog_id=""oxidoreductase_activity,_acting_on_paired_donors,_with_incorporation_or_reduction_of_molecular_oxygen,_reduced_iron-sulfur_protein_as_one_donor,_and_incorporation_of_one_atom_of_oxygen"""
NP_000773,CYP24A1,"Chr_3	AUGUSTUS	gene	19902439	19919598	.	+	.	ID=Marm_16853;blast_id=""sp|Q07973|CP24A_HUMAN"";interproscan_id=""IPR036396"";eggnog_id=""25-hydroxycholecalciferol-24-hydroxylase_activity"""
NP_000775,CYP27A1,"Chr_5	AUGUSTUS	gene	109660045	109679349	.	-	.	ID=Marm_23904;blast_id=""sp|Q02318|CP27A_HUMAN"";interproscan_id=""IPR036396"";eggnog_id=""cytochrome_P450,_family_27,_subfamily_A,_polypeptide"""
NP_000776,CYP27B1,"Chr_2	AUGUSTUS	gene	151195166	151208766	.	-	.	ID=Marm_14557;blast_id=""sp|O15528|CP27B_HUMAN"";interproscan_id=""IPR036396"";eggnog_id=""Cytochrome_P450_family_27_subfamily"""
NP_000849,GUK1,"Chr_10	AUGUSTUS	gene	4749895	4762397	.	+	.	ID=Marm_04172;blast_id=""sp|Q16774|KGUA_HUMAN"";interproscan_id=""IPR027417"";eggnog_id=""dGDP_biosynthetic_process"""
NP_000889,MAOB,"Chr_1	AUGUSTUS	gene	219009801	219072863	.	-	.	ID=Marm_03569;blast_id=""sp|P27338|AOFB_HUMAN"";interproscan_id=""IPR036188"";eggnog_id=""Amine_oxidase_flavin-containing_B"""
NP_000911,PC,"Chr_19	AUGUSTUS	gene	8135489	8268310	.	-	.	ID=Marm_10640;blast_id=""sp|P11498|PYC_HUMAN"";interproscan_id=""IPR011764"";eggnog_id=""pyruvate_carboxylase_activity"""
NP_000916,PDHB,"Chr_2	AUGUSTUS	gene	26086915	26097604	.	-	.	ID=Marm_13602;blast_id=""sp|P11177|ODPB_HUMAN"";interproscan_id=""IPR027110"";eggnog_id=""pyruvate_dehydrogenase_(acetyl-transferring)_activity"""
NP_001001503,NDUFV3,"Chr_10	AUGUSTUS	gene	17554433	17597672	.	+	.	ID=Marm_04275;blast_id=""sp|Q8TEW0|PARD3_HUMAN"";interproscan_id=""PTHR16484:SF10"";eggnog_id=""positive_regulation_of_myelination"""
NP_001001563,TIMM50,"Chr_13	AUGUSTUS	gene	25939753	25963388	.	-	.	ID=Marm_07490;blast_id=""sp|Q3ZCQ8|TIM50_HUMAN"";interproscan_id=""IPR027111"";eggnog_id=""translocase_of_inner_mitochondrial_membrane_50"""
NP_001001660,ETFRF1,"Chr_7	AUGUSTUS	gene	83801016	83801363	.	+	.	ID=Marm_26177;blast_id=""sp|Q6IPR1|ETFR1_HUMAN"";interproscan_id=""IPR008011"";eggnog_id=""respiratory_electron_transport_chain"""
NP_001001790,TOMM5,"Chr_2	AUGUSTUS	gene	182614923	182623722	.	+	.	ID=Marm_12842;blast_id=""sp|Q8N4H5|TOM5_HUMAN"";interproscan_id=""IPR029179"";eggnog_id=""protein_targeting_to_mitochondrion"""
NP_001001795,C8orf82,"Chr_6	AUGUSTUS	gene	105781248	105794373	.	+	.	ID=Marm_24703;blast_id=""sp|Q6P1X6|CH082_HUMAN"";interproscan_id=""IPR028108"";eggnog_id=""Domain_of_unknown_function_(DUF4505)"""
NP_001001935,ATP5F1A,"Chr_9	AUGUSTUS	gene	8746401	8754646	.	-	.	ID=Marm_29020;blast_id=""sp|P25705|ATPA_HUMAN"";interproscan_id=""IPR005294"";eggnog_id=""Produces_ATP_from_ADP_in_the_presence_of_a_proton_gradient_across_the_membrane"""
NP_001001937,ATP5F1A,"Chr_9	AUGUSTUS	gene	8746401	8754646	.	-	.	ID=Marm_29020;blast_id=""sp|P25705|ATPA_HUMAN"";interproscan_id=""IPR005294"";eggnog_id=""Produces_ATP_from_ADP_in_the_presence_of_a_proton_gradient_across_the_membrane"""
NP_001001973,ATP5F1C,"Chr_7	AUGUSTUS	gene	86377736	86391425	.	-	.	ID=Marm_26904;blast_id=""sp|P36542|ATPG_HUMAN"";interproscan_id=""IPR000131"";eggnog_id=""ATP_synthase,_H_transporting,_mitochondrial_F1_complex,_gamma_polypeptide_1"""
NP_001001975,ATP5F1D,"Chr_23	AUGUSTUS	gene	6098737	6103921	.	+	.	ID=Marm_16402;blast_id=""sp|P30049|ATPD_HUMAN"";interproscan_id=""IPR001469"";eggnog_id=""proton-transporting_ATP_synthase_activity,_rotational_mechanism"""
NP_001002019,PUS1,Chr_17	AUGUSTUS	gene	8528259	8580062	.	-	.	ID=Marm_09486;
NP_001002020,PUS1,Chr_17	AUGUSTUS	gene	8528259	8580062	.	-	.	ID=Marm_09486;
NP_001002027,ATP5MC1,"Chr_6	AUGUSTUS	gene	30121662	30238108	.	+	.	ID=Marm_24169;blast_id=""sp|P15822|ZEP1_HUMAN"";interproscan_id=""IPR036236"";eggnog_id=""negative_regulation_of_transcription,_DNA-templated"""
NP_001002030,ECHDC1,"Chr_1	AUGUSTUS	gene	83222592	83248686	.	+	.	ID=Marm_00685;blast_id=""sp|Q9NTX5|ECHD1_HUMAN"";interproscan_id=""IPR029045"";eggnog_id=""Enoyl-CoA_hydratase/isomerase"""
NP_001002031,ATP5MC2,"Chr_6	AUGUSTUS	gene	30121662	30238108	.	+	.	ID=Marm_24169;blast_id=""sp|P15822|ZEP1_HUMAN"";interproscan_id=""IPR036236"";eggnog_id=""negative_regulation_of_transcription,_DNA-templated"""
NP_001002258,ATP5MC3,"Chr_6	AUGUSTUS	gene	30121662	30238108	.	+	.	ID=Marm_24169;blast_id=""sp|P15822|ZEP1_HUMAN"";interproscan_id=""IPR036236"";eggnog_id=""negative_regulation_of_transcription,_DNA-templated"""
NP_001002755,NFU1,"Chr_12	AUGUSTUS	gene	1829504	1842066	.	-	.	ID=Marm_06418;blast_id=""sp|Q9UMS0|NFU1_HUMAN"";interproscan_id=""IPR035433"";eggnog_id=""NFU1_iron-sulfur_cluster_scaffold"""
NP_001002756,NFU1,"Chr_12	AUGUSTUS	gene	1829504	1842066	.	-	.	ID=Marm_06418;blast_id=""sp|Q9UMS0|NFU1_HUMAN"";interproscan_id=""IPR035433"";eggnog_id=""NFU1_iron-sulfur_cluster_scaffold"""
NP_001002913,PTRH1,"Chr_20	AUGUSTUS	gene	2618860	2625584	.	+	.	ID=Marm_15164;blast_id=""sp|Q86Y79|PTH_HUMAN"";interproscan_id=""IPR036416"";eggnog_id=""peptidyl-tRNA_hydrolase"""
NP_001003684,UQCR10,"Chr_17	AUGUSTUS	gene	13006412	13060499	.	+	.	ID=Marm_09310;blast_id=""sp|Q9H1I8|ASCC2_HUMAN"";interproscan_id=""PTHR21494:SF0"";eggnog_id=""Activating_signal_cointegrator_1_complex_subunit_2"""
NP_001003704,MTFP1,"Chr_17	AUGUSTUS	gene	13813107	13818125	.	+	.	ID=Marm_09321;blast_id=""sp|Q9UDX5|MTFP1_HUMAN"";interproscan_id=""IPR019560"";eggnog_id=""Mitochondrial_18_KDa_protein_(MTP18)"""
